1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1773000000 
271. karinPTV  [I love "Lost Colors"]    [セガ金山@愛知県@東海] Score: 1619100112 
272. TOKOHA  [無彩色神]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1617208391 
273. NORA.inc  [上上下下ABAB]    [セガ松山@愛媛県@四国] Score: 1616261728 
274. MOYA4  [Sakura God]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1613468972 
275. yukineko  [大分勢]    [ラウンドワン大分店@大分県@九州] Score: 1613312589 
276. UsM@cha  [I love リンカ]    [ゲームパニック堺@大阪府@近畿] Score: 1611625716 
277. SOUJIROU  [全都道府県完全制覇]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1609793982 
278. null_  [BISHOP]    [ラウンドワン高知店@高知県@四国] Score: 1608966116 
279. Remilia  [神話のアマノジャク]    [アピナ鶴岡店@山形県@東北] Score: 1606720332 
280. KOBA+YU!  [WONDERFUL]    [ＧＡＭＥピーアーク青井@東京都@関東] Score: 1605531641 
281. KAKKA  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1605484789 
282. U.runo  [拍音の戦士]    [プレイランドキング七条店@京都府@近畿] Score: 1605328862 
283. komachi  [死神]    [セガ秋葉原@東京都@関東] Score: 1604632979 
284. Giraty  [「幼女の世界」]    [セガ秋葉原@東京都@関東] Score: 1602805008 
285. F.Tomo  [第四回天下一チャレンジャー]    [ゲームパドック＋１古河店@茨城県@関東] Score: 1602672997 
286. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1601525516 
287. KNE.ink*  [でんぱ神]    [タイトーイン綾瀬@東京都@関東] Score: 1599742061 
288. IZMISTER  [GROOVER]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1599240179 
289. FUTAMI.M  [トラウママスター]    [タイトーステーション難波店@大阪府@近畿] Score: 1599154278 
290. shinobu  [I LOVE EDM]    [プラサカプコン志都呂店@静岡県@東海] Score: 1598727278 
291. SCP  [でんぱ神]    [キャッツアイ篠路店@北海道@北海道] Score: 1597933886 
292. Naoki*  [God more raves? -xiRemix-]    [ナムコランド広島店@広島県@中国] Score: 1597194491 
293. saconimo  [牛乳プリン]    [ラウンドワンさいたま・鴻巣店@埼玉県@関東] Score: 1595382292 
294. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1594921399 
295. POTETO  [戦車女神]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1594513592 
296. Owl.  [旧渋谷神]    [タイトーイン綾瀬@東京都@関東] Score: 1593636310 
297. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1593593936 
298. NAOTOMO  [仮初の満足]    [カレッジ・スクエア@山形県@東北] Score: 1591995562 
299. uit  [初代S CLASS]    [セガワールド高山@岐阜県@東海] Score: 1591838092 
300. W.F.184  [I AM EDM]    [カプセル永山@東京都@関東] Score: 1591614490 
********************************************************************************************
301. Re:Rinne  [3EX]    [タイトーステーション大須店@愛知県@東海] Score: 1591438468 
302. Alokam  [I love "LIMIT BURST"]    [タイトー新浜松ザザシティ店@静岡県@東海] Score: 1590682496 
303. MAID+3rd  [練習中]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1590203061 
304. KAGEAKI  [練習中]    [アピナ富山南店@富山県@北陸] Score: 1589993238 
305. M  [GROOVER]    [タイトーステーション浜松店@静岡県@東海] Score: 1589602725 
306. EB1FLY  [労働反対神]    [ジャムジャムひたちなか本店@茨城県@関東] Score: 1589549821 
307. Yahiga  [練習中]    [タイトーイン綾瀬@東京都@関東] Score: 1588308626 
308. AINA  [I love 新生『でんぱ組.inc』]    [ゲームコーナー東部@宮城県@東北] Score: 1587226610 
309. DFMEX  [ルーキー]    [セガ小名浜@福島県@東北] Score: 1585579840 
310. HeBi  [蛇神]    [ラウンドワン大宮店@埼玉県@関東] Score: 1585463164 
311. JACK  [中級者]    [タイトーイン綾瀬@東京都@関東] Score: 1585109521 
312. HERM+G  [彼女とデートなうって使っていいよ。]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1585018588 
313. MYUT0  [一番星☆☆☆]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1583293059 
314. sielo89  [CAPTAIN CELEBRATE]    [フエゴワールド佐賀@佐賀県@九州] Score: 1582902955 
315. LEO*  [滋賀勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1582734696 
316. CHIRU9  [カンフー神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1581428065 
317. M4R1S4  [神様の詫び証文]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1580206117 
318. pr0se  [名も無い幼い神]    [ROUND1(STRATFORD SQUARE)@America@海外] Score: 1578866200 
319. FOX186  [ウロボロス]    [SUPER GENIUS@Taiwan@海外] Score: 1578396935 
320. JACK  [最高の舞台を目指せ！]    [タイトーステーション船橋店@千葉県@関東] Score: 1577798904 
321. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1577093389 
322. Tokky  [MY FIRST GOD]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1576289337 
323. IRUKA  [聖徳道士]    [ラウンドワン富士店@静岡県@東海] Score: 1576046240 
324. hosous  [バハムート]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1575308692 
325. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1574928923 
326. PONSYU  [骸骨神]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1574803725 
327. GFP  [I love Ray series]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1573113412 
328. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1572037155 
329. Cocoa.*  [HARDCORE SYNDROME]    [ＳＵＰＥＲＷＡＶＥ静岡店@静岡県@東海] Score: 1570948131 
330. TSUNAKO.  [URANUS]    [大牟田Ｊ－ＧＡＭＥ@福岡県@九州] Score: 1570149384 
331. NAO  [EXTREME]    [ＳＯＹＵ　ＦＧＦ　花巻店@岩手県@東北] Score: 1569913348 
332. Shamu  [Nightmare]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1569114185 
333. orbit  [God hive of Ra]    [ポート２４八事店@愛知県@東海] Score: 1568773437 
334. Azure  [DullaQueen]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1568479907 
335. SingleE  [不可能へ挑戦し続ける者]    [大宰府Ｊボウル@福岡県@九州] Score: 1568182882 
336. R#(9)  [LINK PERFECT]    [ソユーゲームフィールド木更津店@千葉県@関東] Score: 1565864805 
337. PROCO.Jr  [そんな気分よ女神]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1565561714 
338. pcfx  [タイトーLOVE]    [セガ金山@愛知県@東海] Score: 1565118989 
339. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1564066477 
340. TKK  [無理]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1561859365 
341. Melonism  [秘弾「そして誰もいなくなるか？」]    [STARMU GAME CENTER@Korea@海外] Score: 1561504761 
342. tnmgt+@?  [パンプキン神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1559525346 
343. HEI.  [純符「純粋な弾幕地獄」]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1558761643 
344. 96r  [宇宙最速]    [ラウンドワン青森店@青森県@東北] Score: 1558567126 
345. ADORA  [STORM CAUSER]    [楽市楽座イオンモール福岡伊都店@福岡県@九州] Score: 1558219886 
346. LMTAK  [Moonbound master]    [アミューズメントエース市川店@千葉県@関東] Score: 1557160464 
347. Tac  [Reload God]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1556725647 
348. quell  [上上下下ABAB]    [ＡＧスクエア袋井店@静岡県@東海] Score: 1553494755 
349. DEDEDE  [グルーヴ六段]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1552547991 
350. Koppe  [サンドリヨンマスター]    [ホムスタ　加古川店@兵庫県@近畿] Score: 1551994805 
351. AMALILLO  [ケルベロス]    [アテナ日本橋@大阪府@近畿] Score: 1551928942 
352. 10-LL*  [神・伍拾弐段]    [メジャーゲーム館@新潟県@信越] Score: 1551357477 
353. Tetsuuuu  [グルーヴ七千段]    [あそＶＩＶＡ@京都府@近畿] Score: 1550244244 
354. shogoDX  [どんつくどんつくどんつくどんつく]    [セガ弘前@青森県@東北] Score: 1549992455 
355. Yize  [＼ﾁｰﾝ／]    [駅前スタジアム３@愛媛県@四国] Score: 1548807299 
356. NC_B.RS  [神々が恋した神]    [NEW CITY(JHONGLI)@Taiwan@海外] Score: 1545003704 
357. Dr.X  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1544292790 
358. TAPIOCA  [GOD]    [ラウンドワン博多半道橋店@福岡県@九州] Score: 1543796245 
359. UKBEAGLE  [チュルリラ・チュルリラ・マスター]    [タイトーステーション難波店@大阪府@近畿] Score: 1542834868 
360. cbREV.  [第三回天下一音ゲ祭 ファイナリスト]    [タイトーステーション池袋西口店@東京都@関東] Score: 1542652246 
361. Wing  [GROOVER]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1542538146 
362. SIRA_P  [君にねむきゅんきゅん！]    [タイトーステーション町田店@東京都@関東] Score: 1542380180 
363. HIDE  [I love でんぱ組.inc]    [セガ水戸@茨城県@関東] Score: 1540976775 
364. Y.Ojisan  [変なTシャツ女神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1539611837 
365. GROOVER  [「幼女の世界」]    [TOM'S(TAINAN FOCUS)@Taiwan@海外] Score: 1539293444 
366. T.naturu  [空想神]    [セガワールド船堀@東京都@関東] Score: 1538811637 
367. Hoimi*  [みんなの歌姫]    [セガ松江@島根県@中国] Score: 1535842760 
368. HAPPYEXE  [S級織田信長]    [ESLITE WUCHANG@Taiwan@海外] Score: 1535778396 
369. DJ+890  [しんどい]    [パルケデアミーゴ！山形店@山形県@東北] Score: 1534297662 
370. RedBunny  [幸福理論神]    [CHAMELEON AMUSEMENT(CHIAYI)@Taiwan@海外] Score: 1531243275 
371. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1531082814 
372. Raijin.  [Crazy ∞ Goddess]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1530434798 
373. Z.F  [THE EMBRYON]    [ユーズランド下田店@青森県@東北] Score: 1530383523 
374. AMANE02  [RinLenGod]    [セガイオンタウン金沢示野@石川県@北陸] Score: 1530063847 
375. ScarRed  [永遠に紅い幼き月]    [ピンクパンサー日立店@茨城県@関東] Score: 1529269795 
376. MiKUya!?  [シンセサイザ ゴッド]    [タイトーステーション池袋西口店@東京都@関東] Score: 1528820894 
377. Takam  [タマシイ呼び出しマスター]    [ジョイランド江守店@福井県@北陸] Score: 1528260895 
378. COACH  [彼女とデートなうって使っていいよ。]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1528030054 
379. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1526861124 
380. GACHAPIN  [行脚王]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1526609695 
381. jun1<39>  [MikuMikuGod]    [金沢メトロポリス@石川県@北陸] Score: 1525346688 
382. Indigo  [上上下下ABAB]    [タイトーステーション大宮店@埼玉県@関東] Score: 1524236613 
383. Twilight  [四天王奥義「三歩必殺」]    [ジャムジャムつくば店@茨城県@関東] Score: 1521986967 
384. Wokura  [I love ATTACK THE MUSIC]    [EX10(LADPRAO)@Thailand@海外] Score: 1521889267 
385. L+Crante  [Ｓ＋級クレープ]    [セガ霞ヶ浦@茨城県@関東] Score: 1521208043 
386. reincar.  [LINK GOD]    [アピナ長岡店@新潟県@信越] Score: 1519394419 
387. KARED  [幽冥楼閣の亡霊少女]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1518568184 
388. Yui  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1518152096 
389. pata_sir  [全都道府県完全制覇]    [タイトーステーション所沢店@埼玉県@関東] Score: 1517738328 
390. NMN  [岩手勢]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1517002698 
391. BURST=XV  [九尾]    [プレイロットジョイ@東京都@関東] Score: 1514784025 
392. KAMI400  [「ちゃんとこっち向いてったら」]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1513918008 
393. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1512913948 
394. TATHI  [Planet king]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1512386289 
395. HIS.  [I love t+pazolite]    [スーパーノバ会津インター店@福島県@東北] Score: 1512046834 
396. AA4X1X0  [夢現神]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1510402980 
397. Pepper  [WARNING!!]    [ドリームファクトリーいわき店@福島県@東北] Score: 1510103529 
398. Spica.  [あのね…実はわたし、女神なんだ…?]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1509681688 
399. Arubada  [インフィニティ先生]    [セガワールド籠原@埼玉県@関東] Score: 1509377693 
400. Namia@@  [I love "Blue Destiny Blue"]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1509350489 
********************************************************************************************
401. BrentBur  [I LOVE 初音ミク]    [ROUND1(MAIN PLACE)@America@海外] Score: 1506298477 
402. UWAAZ  [不可能を可能にする者]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1505729439 
403. tsuccho  [リズム感の神]    [セガ金山@愛知県@東海] Score: 1503975428 
404. KUROKO  [Starlight Road God]    [ARCADE1@Korea@海外] Score: 1503514523 
405. L  [ミクかわいいよミク]    [WAWA EMPIRE(YIJHONG)@Taiwan@海外] Score: 1503072928 
406. SHAM  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1502759133 
407. On1D40ru  [GROOVER]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1502546005 
408. Alice  [死ぬがよい。]    [Ｍ’Ｓ　ＰＡＲＫ刈谷店@愛知県@東海] Score: 1501488922 
409. YTwwwwww  [白金神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1501399483 
410. lUY18>>  [Keep the Fujin]    [タイトーステーション柏店@千葉県@関東] Score: 1500711249 
411. MORIMORI  [TANO*C MASTER]    [アドアーズ藤沢北口@神奈川県@関東] Score: 1497871736 
412. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1497574284 
413. AYATAKA  [カワウソに似ててもいいよね？]    [キャッツアイ手稲店@北海道@北海道] Score: 1497393575 
414. UFORANGE  [I love "オレンジ"]    [セガ水戸@茨城県@関東] Score: 1496548641 
415. Slug  [うー！がぉー！]    [ステーション２０１@愛知県@東海] Score: 1495189971 
416. MMM  [タイトーLOVE]    [タイトーステーション和光店@埼玉県@関東] Score: 1494879245 
417. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1494583311 
418. (Galax)  [ご覚悟くださいませ☆]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1494268192 
419. NIMR*P  [Ｓ級神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1493737982 
420. YAYOI  [長崎勢]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1493568995 
421. The+GoD.  [ステルスゴッド]    [プレイタウンパル富士吉田店@山梨県@関東] Score: 1492102368 
422. WAKIDON  [おにぎりむしゃ～り！]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1490987617 
423. LoRi  [グルーヴ・リボルバー・ゴッド]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1490793324 
424. MBK-GIL  [歌って踊れるゲーマーアイドル]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1489299533 
425. SKULL+  [悪魔の妹]    [アピナ長野川中島店@長野県@信越] Score: 1489253976 
426. Soahc@NN  [フィギュアヘッズ マスター]    [セガ東京ドームシティ@東京都@関東] Score: 1486929789 
427. Y0M1  [Bad Apple!! Master]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1485737159 
428. Parallel  [全国行脚中]    [キャロム坂戸店@埼玉県@関東] Score: 1485632615 
429. KoNaTwuN  [導きのARIA]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1484938099 
430. MATYARYU  [I LOVE 消滅都市]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1484815867 
431. St.Rhea  [I LOVE ZUNTATA]    [ゲームランド（岡崎）@愛知県@東海] Score: 1484132253 
432. Iyse*  [AUG, 2017 TOP RANKER]    [AMERICAN POOL@Hong Kong@海外] Score: 1483985293 
433. USA33  [HDM KING]    [ラウンドワンららぽーと新三郷店@埼玉県@関東] Score: 1483308284 
434. Masa  [治部煮]    [バイパスレジャーランド宇ノ気店@石川県@北陸] Score: 1483071263 
435. 3Ka-LL  [GREAT THING]    [ラウンドワン大分店@大分県@九州] Score: 1481460467 
436. 551  [がんばリンカちゃん！]    [ヒューストン西川口店@埼玉県@関東] Score: 1478994448 
437. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1478592541 
438. R230  [日本一周]    [ラウンドワン伊丹店@兵庫県@近畿] Score: 1478162966 
439. CHUNITHM  [第三回天下一音ゲ祭 ファイナリスト]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1477472702 
440. VOUZZZZZ  [上上下下ABAB]    [ラウンドワン浜松店@静岡県@東海] Score: 1477190736 
441. FELT?  [アンノウン・クイーン]    [ＡＭパーク　ネバーランド@神奈川県@関東] Score: 1476891260 
442. HERI  [雷神]    [タイトーステーション立川北口店@東京都@関東] Score: 1473742657 
443. kana  [鹿児島勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1472499810 
444. 999999  [最終鬼畜兵器]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1471947075 
445. KABUTO  [音魄の使い手]    [ラウンドワン秋田店@秋田県@東北] Score: 1471807937 
446. Ayahi  [I love "Five to Seven"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1470627770 
447. RYO-RYO-  [クラーケン]    [タイトーステーション池袋西口店@東京都@関東] Score: 1468236997 
448. K.K-OTL  [がんばリンカちゃん！]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1466309907 
449. HAIBOCHU  [でんぱ神]    [アピナ松本店@長野県@信越] Score: 1465093602 
450. UNAGI*  [両生類の神様]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1463802841 
451. Riza.  [名も無い幼い神]    [ラウンドワン高津店@神奈川県@関東] Score: 1462426855 
452. TYA-HAN  [Ｓ＋級チャーハン]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1462211641 
453. Retsu.  [Ever Free God]    [プレイロットジョイ@東京都@関東] Score: 1462061561 
454. arx-8  [ECLIPSES EYE]    [アミューズメントパーク・アルコ@岩手県@東北] Score: 1461236704 
455. SiroKuro  [天然ボケ]    [キャロム東大和店@東京都@関東] Score: 1459587473 
456. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション船橋店@千葉県@関東] Score: 1459584318 
457. RI9.  [超COOL!]    [タイトーステーション立川北口店@東京都@関東] Score: 1459360295 
458. HALUYA  [付喪神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1459229144 
459. FAN  [HUNGRY GLUTTONS]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1457308112 
460. BLAZE283  [I love "LIMIT BURST"]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1455228152 
461. Daizu  [しんどい]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1454995287 
462. WATTA  [四季の最高裁判長]    [タイトーステーション浜松店@静岡県@東海] Score: 1454646321 
463. Toma9/  [無彩色神]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1451824802 
464. YURA*ch  [チュルリラ・チュルリラ・マスター]    [ファンタジードーム八戸@青森県@東北] Score: 1448943422 
465. OKARINA  [夢現神]    [タイトーＦステーション三宮店@兵庫県@近畿] Score: 1448670736 
466. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1448080338 
467. AZUSA>.<  [星条旗の女王]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1448077793 
468. SYANK  [大奇跡「八坂の神風」]    [アピナ鶴岡店@山形県@東北] Score: 1446617144 
469. Ralickma  [S級真田信之]    [ジャムジャムつくば店@茨城県@関東] Score: 1445895928 
470. GrizAil  [冬のミクさんマジ天使]    [タイトーステーション立川北口店@東京都@関東] Score: 1443705189 
471. IF  [GROOVER]    [ドリームファクトリーいわき店@福島県@東北] Score: 1442165244 
472. Irem  [超シューティング神]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1442124275 
473. alhime  [夏だ！海だ！初音ミク]    [ラウンドワン伊丹店@兵庫県@近畿] Score: 1441953776 
474. MANNNNK  [MY FIRST GOD]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1440556142 
475. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1440407640 
476. Syuuu!!!  [無理]    [ラウンドワン函館店@北海道@北海道] Score: 1440102707 
477. KU-NERU  [Ｓ＋級パスタ]    [サードプラネット焼津店@静岡県@東海] Score: 1438491727 
478. NGGFN  [レンかわいいよレン]    [TOM'S(TAOYUAN FE21)@Taiwan@海外] Score: 1438447738 
479. AKIBOSHI  [ニャスニャス！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1437992663 
480. KUROGANE  [グルーヴ五万段]    [タイトーステーション衣山店@愛媛県@四国] Score: 1437266126 
481. COMPILE  [みっくみくにしてやんよ～！]    [セガ松山@愛媛県@四国] Score: 1436533511 
482. ARIKA  [魔界の召喚士]    [タイトーステーション新宿東口店@東京都@関東] Score: 1435783681 
483. se@3156  [上上下下ABAB]    [最後の５ドル@福岡県@九州] Score: 1435401676 
484. TeiEnShi  [レヴ民でヴ民]    [ラウンドワン横浜綱島店@神奈川県@関東] Score: 1435342071 
485. SftCmdQ  [GROOVER]    [タイトーステーション上野アメ横@東京都@関東] Score: 1435242505 
486. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1434709446 
487. KAZ  [ブルードラゴン]    [セガワールド豊科@長野県@信越] Score: 1434385487 
488. REN  [Don't stop funky music!]    [ＪＯＹＬＡＮＤ敦賀店@福井県@北陸] Score: 1434081802 
489. WARLOCK  [羊神]    [Ｈｅｙ@東京都@関東] Score: 1433224472 
490. SyaLLrip  [ドリームパーティーゴッド]    [楽市楽座行橋店@福岡県@九州] Score: 1432442097 
491. Potechi  [第二回天下一音ゲ祭 チャンピオン]    [ラウンドワン朝霞店@埼玉県@関東] Score: 1431677467 
492. 03312345  [GROOVER]    [タイトーステーション上野アメ横@東京都@関東] Score: 1429264168 
493. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1428954734 
494. LOTUS  [電脳紀行神]    [セガ今市@栃木県@関東] Score: 1428373679 
495. nakaparu  [ＥＸ級大関]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1426776845 
496. BIGBANG  [世界の傍観者]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1426624804 
497. YUSUKE  [死欲の半霊]    [ユーズランド下田店@青森県@東北] Score: 1425731258 
498. Miso  [そーなのかー]    [カプセル永山@東京都@関東] Score: 1423608905 
499. CHOMOKO  [金色の異端児]    [セガワールド多治見@岐阜県@東海] Score: 1422235339 
500. FREE  [ユニコーン]    [アピナ松本店@長野県@信越] Score: 1422152543 
********************************************************************************************
501. Skeleton  [岐阜勢]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1419858325 
502. Jacky  [お断リンカちゃん]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1418759033 
503. AZKKR  [No friend god]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1416294269 
504. K@RIN*  [にぼし！にぼし！ますたー]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1413050945 
505. Siomi  [太陽神]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1412460900 
506. DammK  [第五ノ封印ヲ解放セシ者]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1412093195 
507. SCP-173  [グルーヴ一万段]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1410574409 
508. Kagerou  [永遠の魔法少女未満]    [プラサカプコン成田店@千葉県@関東] Score: 1410237732 
509. Zing  [Nightmare]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1409992967 
510. Lucasha  [韓国勢]    [タイトーステーション新宿東口店@東京都@関東] Score: 1409929099 
511. 4riEL  [My Voice is God.]    [タイトーフジグラン北島店@徳島県@四国] Score: 1407811737 
512. HaZaMa  [重低音モンスター]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1406727507 
513. Kotori.  [次の曲が始まるのです女神]    [ユーズランド東浦店@愛知県@東海] Score: 1404796848 
514. MALEAIA  [死ぬがよい。]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1403335568 
515. RE4  [旧渋谷大王]    [ｎａｍｃｏイオンタウン大館西店@秋田県@東北] Score: 1403177003 
516. ROW  [駆け出し]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1401470117 
517. NEB  [眠れる王]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1400335448 
518. Amakusa  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1399937113 
519. mdr  [I love Ray series]    [ピンクパンサー日立店@茨城県@関東] Score: 1398881493 
520. adaptor  [雷神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1398621022 
521. SnowWeln  [Starlight Road God]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1396970795 
522. LKlet  [HG魔改造ポリビニル神]    [遊スペース　マジカル@兵庫県@近畿] Score: 1395059453 
523. 708  [宮城勢]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1394769915 
524. BLAZE  [ソウルメイト]    [ラウンドワン高知店@高知県@四国] Score: 1393818670 
525. Vtea  [I love "LIMIT BURST"]    [セガ東京ドームシティ@東京都@関東] Score: 1393438796 
526. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1393424427 
527. Mlt-Hyk.  [厄神様]    [ナムコランド広島店@広島県@中国] Score: 1392911128 
528. 99  [練習中]    [アムズ・上通り店@熊本県@九州] Score: 1392730772 
529. kmks  [もしもの神]    [セガ伊勢@三重県@東海] Score: 1392583787 
530. Ngsbk  [最高速の神]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1390745243 
531. PRESTIGE  [VENUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1389256728 
532. OO568  [エストポリス神]    [ラウンドワン郡山店@福島県@東北] Score: 1384494407 
533. RON-G  [I love "ナイト・オブ・ナイツ"]    [ラウンドワン仙台苦竹店@宮城県@東北] Score: 1382809285 
534. K2D6  [S級石田三成]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1382687379 
535. Marg  [ハヤブサ]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1382417271 
536. Rerugan  [cyanine god]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1382078836 
537. BBC  [GROOVER]    [アドアーズ橋本@神奈川県@関東] Score: 1381808894 
538. nagaitoR  [子供じゃないも～ん！]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1381306661 
539. Rainie02  [PRINCESS]    [アテナ日本橋@大阪府@近畿] Score: 1380999427 
