1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1763000000 
272. E-ZONE  [技名を叫んでから殴る大王]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1603973757 
273. MOYA4  [Sakura God]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1603612194 
274. karinPTV  [I love "Lost Colors"]    [セガ金山@愛知県@東海] Score: 1603583153 
275. U.runo  [拍音の戦士]    [プレイランドキング七条店@京都府@近畿] Score: 1602643058 
276. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1601634629 
277. null_  [BISHOP]    [ラウンドワン高知店@高知県@四国] Score: 1599135325 
278. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1598734765 
279. shinobu  [I LOVE EDM]    [プラサカプコン志都呂店@静岡県@東海] Score: 1598727278 
280. UsM@cha  [I love リンカ]    [ラウンドワン堺駅前店@大阪府@近畿] Score: 1598069348 
281. CHIK.WAV  [七福神]    [タイトーステーション千歳店@北海道@北海道] Score: 1597870875 
282. KNE.ink*  [でんぱ神]    [セガ秋葉原@東京都@関東] Score: 1597078239 
283. saconimo  [牛乳プリン]    [ラウンドワンさいたま・鴻巣店@埼玉県@関東] Score: 1595382292 
284. SCP  [でんぱ神]    [キャッツアイ篠路店@北海道@北海道] Score: 1594077433 
285. F.Tomo  [しんどい]    [ＦＥＳＴＡ古河店@茨城県@関東] Score: 1594052583 
286. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1593593936 
287. Owl.  [旧渋谷神]    [タイトーステーション柏店@千葉県@関東] Score: 1593572385 
288. FUTAMI.M  [I LOVE DARIUS]    [セガワールド布施@大阪府@近畿] Score: 1593293044 
289. Giraty  [「幼女の世界」]    [セガ秋葉原@東京都@関東] Score: 1593156580 
290. POTETO  [戦車女神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1592650244 
291. NORA.inc  [上上下下ABAB]    [セガ松山@愛媛県@四国] Score: 1591732095 
292. Re:Rinne  [3EX]    [タイトーステーション大須店@愛知県@東海] Score: 1590526284 
293. W.F.184  [I AM EDM]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1589617258 
294. Alokam  [I love "LIMIT BURST"]    [タイトーステーション浜松店@静岡県@東海] Score: 1588742725 
295. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1586624254 
296. IZMISTER  [君にねむきゅんきゅん！]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1586013750 
297. HERM+G  [彼女とデートなうって使っていいよ。]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1585018588 
298. MAID+3rd  [練習中]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1584300527 
299. EB1FLY  [労働反対神]    [アミューズ　ビバ@茨城県@関東] Score: 1583744875 
300. Naoki*  [Crimson Phoenix God]    [ナムコランド広島店@広島県@中国] Score: 1583313526 
********************************************************************************************
301. JACK  [中級者]    [タイトーイン綾瀬@東京都@関東] Score: 1583252958 
302. CHIRU9  [I love "カンフーガール=ロンメイ"]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1581328891 
303. DFMEX  [ルーキー]    [セガ小名浜@福島県@東北] Score: 1581209074 
304. KAGEAKI  [練習中]    [アピナ富山南店@富山県@北陸] Score: 1580945365 
305. MYUT0  [一番星☆☆☆]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1580677403 
306. M4R1S4  [神様の詫び証文]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1580205714 
307. AINA  [君にねむきゅんきゅん！]    [ゲームコーナー東部@宮城県@東北] Score: 1576607230 
308. sielo89  [CAPTAIN CELEBRATE]    [ラウンドワン佐賀店@佐賀県@九州] Score: 1576303338 
309. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1576138895 
310. HeBi  [蛇神]    [タイトーステーション大宮店@埼玉県@関東] Score: 1575082819 
311. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1574928923 
312. JACK  [最高の舞台を目指せ！]    [タイトーステーション船橋店@千葉県@関東] Score: 1574816361 
313. M  [GROOVER]    [タイトーステーション浜松店@静岡県@東海] Score: 1574552172 
314. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1574395649 
315. LEO*  [滋賀勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1574300519 
316. Yahiga  [練習中]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1573720423 
317. Remilia  [神話のアマノジャク]    [アピナ鶴岡店@山形県@東北] Score: 1573110347 
318. GFP  [I love Ray series]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1573098276 
319. SOUJIROU  [全都道府県完全制覇]    [ラウンドワン宝塚店@兵庫県@近畿] Score: 1571817296 
320. PONSYU  [骸骨神]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1571795584 
321. Cocoa.*  [HARDCORE SYNDROME]    [ＳＵＰＥＲＷＡＶＥ静岡店@静岡県@東海] Score: 1570948131 
322. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1569493076 
323. IRUKA  [聖徳道士]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1569162133 
324. Shamu  [Nightmare]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1569114185 
325. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1568620573 
326. TSUNAKO.  [URANUS]    [大牟田Ｊ－ＧＡＭＥ@福岡県@九州] Score: 1568332639 
327. FOX186  [ウロボロス]    [SUPER GENIUS@Taiwan@海外] Score: 1568191699 
328. hosous  [バハムート]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1567666180 
329. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1566086336 
330. uit  [I love "Bad Apple!! feat. nomico"]    [セガワールド高山@岐阜県@東海] Score: 1565454197 
331. Azure  [DullaQueen]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1564724168 
332. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1564066477 
333. PROCO.Jr  [そんな気分よ女神]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1562766540 
334. Melonism  [秘弾「そして誰もいなくなるか？」]    [STARMU GAME CENTER@Korea@海外] Score: 1561504761 
335. komachi  [死神]    [タイトーステーション浅草店@東京都@関東] Score: 1560413235 
336. SingleE  [不可能へ挑戦し続ける者]    [大宰府Ｊボウル@福岡県@九州] Score: 1558956308 
337. 96r  [宇宙最速]    [ラウンドワン青森店@青森県@東北] Score: 1558567126 
338. LMTAK  [Moonbound master]    [アミューズメントエース市川店@千葉県@関東] Score: 1557160464 
339. tnmgt+@?  [パンプキン神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1556547068 
340. R#(9)  [LINK PERFECT]    [ソユーゲームフィールド木更津店@千葉県@関東] Score: 1556117018 
341. pr0se  [名も無い幼い神]    [ROUND1(FOX VALLEY MALL)@America@海外] Score: 1554708953 
342. 10-LL*  [神・伍拾弐段]    [メジャーゲーム館@新潟県@信越] Score: 1551357477 
343. Tac  [Reload God]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1550728665 
344. Koppe  [サンドリヨンマスター]    [ホムスタ　加古川店@兵庫県@近畿] Score: 1549617499 
345. HEI.  [「永夜返し -世明け」]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1548844815 
346. quell  [カワウソに似ててもいいよね？]    [ラウンドワン浜松店@静岡県@東海] Score: 1545846673 
347. UKBEAGLE  [チュルリラ・チュルリラ・マスター]    [タイトーステーション難波店@大阪府@近畿] Score: 1542834868 
348. orbit  [cyanine god]    [ポート２４八事店@愛知県@東海] Score: 1540793199 
349. Dr.X  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1539811942 
350. cbREV.  [第三回天下一音ゲ祭 ファイナリスト]    [タイトーステーション池袋西口店@東京都@関東] Score: 1539443781 
351. GROOVER  [「幼女の世界」]    [TOM'S(TAINAN FOCUS)@Taiwan@海外] Score: 1539293444 
352. DEDEDE  [ETERNAL GOD]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1538578132 
353. Y.Ojisan  [変なTシャツ女神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1536611837 
354. SIRA_P  [カワウソに似ててもいいよね？]    [タイトーステーション町田店@東京都@関東] Score: 1536547271 
355. Tetsuuuu  [グルーヴ六千段]    [あそＶＩＶＡ@京都府@近畿] Score: 1535924348 
356. Hoimi*  [みんなの歌姫]    [セガ松江@島根県@中国] Score: 1535842760 
357. ADORA  [STORM CAUSER]    [楽市楽座イオンモール福岡伊都店@福岡県@九州] Score: 1535713607 
358. shogoDX  [どんつくどんつくどんつくどんつく]    [セガ弘前@青森県@東北] Score: 1534711704 
359. TAPIOCA  [GOD]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1533110293 
360. HAPPYEXE  [S級織田信長]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1532975247 
361. Raijin.  [Crazy ∞ Goddess]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1530434798 
362. HIDE  [ぱーりー神]    [ジャムジャムひたちなか本店@茨城県@関東] Score: 1530004601 
363. Wing  [GROOVER]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1527609091 
364. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1527412030 
365. AMANE02  [RinLenGod]    [レジャーランド藤江新館@石川県@北陸] Score: 1527079695 
366. MiKUya!?  [シンセサイザ ゴッド]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1526874347 
367. T.naturu  [空想神]    [セガワールド船堀@東京都@関東] Score: 1526846245 
368. NC_B.RS  [キング・オブ・ナイツ]    [NEW CITY(JHONGLI)@Taiwan@海外] Score: 1526305197 
369. COACH  [彼女とデートなうって使っていいよ。]    [ラウンドワン札幌白石本通店@北海道@北海道] Score: 1526054465 
370. Takam  [スフィア回収マスター]    [ジョイランド江守店@福井県@北陸] Score: 1525345201 
371. jun1<39>  [MikuMikuGod]    [セガイオンタウン金沢示野@石川県@北陸] Score: 1522606020 
372. DJ+890  [しんどい]    [パルケデアミーゴ！山形店@山形県@東北] Score: 1521281387 
373. Z.F  [THE EMBRYON]    [ユーズランド下田店@青森県@東北] Score: 1520324468 
374. Twilight  [四天王奥義「三歩必殺」]    [ジャムジャムつくば店@茨城県@関東] Score: 1520228489 
375. L+Crante  [Ｓ＋級クレープ]    [セガ霞ヶ浦@茨城県@関東] Score: 1519172426 
376. reincar.  [LINK GOD]    [アピナ長岡店@新潟県@信越] Score: 1518415919 
377. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1517563373 
378. Yui  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1517437732 
379. KARED  [幽冥楼閣の亡霊少女]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1516683775 
380. Wokura  [I love ATTACK THE MUSIC]    [EX10(MBK)@Thailand@海外] Score: 1516345079 
381. TKK  [無理]    [キャッツアイ八千代店@千葉県@関東] Score: 1516215985 
382. GACHAPIN  [行脚王]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1515264990 
383. ScarRed  [永遠に紅い幼き月]    [ピンクパンサー日立店@茨城県@関東] Score: 1514195960 
384. KAMI400  [「ちゃんとこっち向いてったら」]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1513918008 
385. Indigo  [上上下下ABAB]    [タイトーステーション大宮店@埼玉県@関東] Score: 1513623851 
386. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1512913948 
387. HIS.  [I love t+pazolite]    [スーパーノバ会津インター店@福島県@東北] Score: 1511973714 
388. AA4X1X0  [夢現神]    [プレイランドキング七条店@京都府@近畿] Score: 1510390366 
389. RedBunny  [幸福理論神]    [CHAMELEON AMUSEMENT(CHIAYI)@Taiwan@海外] Score: 1509865200 
390. Yize  [＼ﾁｰﾝ／]    [グラントシティ　ＩＮＮ　キスケ@愛媛県@四国] Score: 1509324760 
391. NMN  [岩手勢]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1509047701 
392. TATHI  [彼女とデートなうって使っていいよ。]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1507357698 
393. Spica.  [あるいは神という概念へのサクシード]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1505489783 
394. tsuccho  [リズム感の神]    [セガ金山@愛知県@東海] Score: 1503975428 
395. pcfx  [タイトーLOVE]    [セガ金山@愛知県@東海] Score: 1503413153 
396. SHAM  [メリークルシミマス！]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1502757874 
397. pata_sir  [全都道府県完全制覇]    [タイトーステーション所沢店@埼玉県@関東] Score: 1501938868 
398. L  [バーカバーカ！]    [DINO GAME CENTER(MODE MALL)@Taiwan@海外] Score: 1501161515 
399. BURST=XV  [九尾]    [タイトーステーション所沢店@埼玉県@関東] Score: 1500869784 
400. AMALILLO  [ケルベロス]    [アテナ日本橋@大阪府@近畿] Score: 1499738022 
********************************************************************************************
401. lUY18>>  [Keep the Fujin]    [タイトーステーション柏店@千葉県@関東] Score: 1499687254 
402. KUROKO  [からかさ神]    [STARMU GAME CENTER@Korea@海外] Score: 1499609661 
403. Pepper  [WARNING!!]    [ドリームファクトリーいわき店@福島県@東北] Score: 1499470240 
404. MORIMORI  [TANO*C MASTER]    [アドアーズ藤沢北口@神奈川県@関東] Score: 1497871736 
405. UFORANGE  [I love "オレンジ"]    [セガ水戸@茨城県@関東] Score: 1496548641 
406. BrentBur  [I LOVE 初音ミク]    [ROUND1(MAIN PLACE)@America@海外] Score: 1495459851 
407. Slug  [うー！がぉー！]    [ステーション２０１@愛知県@東海] Score: 1495189971 
408. NIMR*P  [Ｓ級神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1493737982 
409. Arubada  [インフィニティ先生]    [セガワールド籠原@埼玉県@関東] Score: 1492866470 
410. The+GoD.  [ステルスゴッド]    [プレイタウンパル富士吉田店@山梨県@関東] Score: 1492102368 
411. YTwwwwww  [Ψ発見伝！ゴッド]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1491428125 
412. WAKIDON  [おにぎりむしゃ～り！]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1490987617 
413. NULLPE  [練習中]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1488803174 
414. LoRi  [ヴァンパイア姫]    [ムトス相模原店@神奈川県@関東] Score: 1487874051 
415. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1487549782 
416. Namia@@  [I love "Blue Destiny Blue"]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1486123291 
417. UWAAZ  [不可能を可能にする者]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1486102688 
418. SKULL+  [悪魔の妹]    [アピナ長野川中島店@長野県@信越] Score: 1485489239 
419. YAYOI  [長崎勢]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1485394348 
420. Alice  [死ぬがよい。]    [Ｍ’Ｓ　ＰＡＲＫ刈谷店@愛知県@東海] Score: 1484570418 
421. MATYARYU  [I LOVE 消滅都市]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1483818661 
422. USA33  [HDM KING]    [ラウンドワンららぽーと新三郷店@埼玉県@関東] Score: 1483308284 
423. St.Rhea  [I LOVE ZUNTATA]    [ユーファクトリー安城店@愛知県@東海] Score: 1482202359 
424. On1D40ru  [GROOVER]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1481111287 
425. Y0M1  [Bad Apple!! Master]    [ＣＬＵＢＳＥＧＡ新杉田@神奈川県@関東] Score: 1480749218 
426. MMM  [タイトーLOVE]    [タイトーステーション和光店@埼玉県@関東] Score: 1479983555 
427. 551  [がんばリンカちゃん！]    [ヒューストン西川口店@埼玉県@関東] Score: 1478994448 
428. MBK-GIL  [隊長さん]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1478936697 
429. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1478592541 
430. 3Ka-LL  [GREAT THING]    [楽市楽座イオンモール宮崎店@宮崎県@九州] Score: 1478468107 
431. CHUNITHM  [第三回天下一音ゲ祭 ファイナリスト]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1477472702 
432. Parallel  [全国行脚中]    [セガ池袋ギーゴ@東京都@関東] Score: 1477242952 
433. FELT?  [アンノウン・クイーン]    [ＡＭパーク　ネバーランド@神奈川県@関東] Score: 1476891260 
434. Soahc@NN  [Tragedy Master]    [アムネット五反田店@東京都@関東] Score: 1475938388 
435. Iyse*  [AUG, 2017 TOP RANKER]    [X-LAND(TSUEN WAN)@Hong Kong@海外] Score: 1475181474 
436. (Galax)  [ご覚悟くださいませ☆]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1475143528 
437. Masa  [治部煮]    [バイパスレジャーランド加賀店@石川県@北陸] Score: 1472558016 
438. AYATAKA  [ウロボロス]    [キャッツアイ手稲店@北海道@北海道] Score: 1471690170 
439. kana  [鹿児島勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1471476685 
440. Ayahi  [I love "Five to Seven"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1470627770 
441. 999999  [最終鬼畜兵器]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1470331153 
442. KoNaTwuN  [導きのARIA]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1467145852 
443. HERI  [第四回天下一音ゲ祭 ファイナリスト]    [タイトーステーション立川北口店@東京都@関東] Score: 1466679715 
444. K.K-OTL  [がんばリンカちゃん！]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1466309907 
445. R230  [日本一周]    [ラウンドワン伊丹店@兵庫県@近畿] Score: 1466097156 
446. RYO-RYO-  [スフィンクス]    [タイトーステーション池袋西口店@東京都@関東] Score: 1465507184 
447. KABUTO  [音魄の使い手]    [ソユーゲームフィールド御所野店@秋田県@東北] Score: 1465266280 
448. HAIBOCHU  [でんぱ神]    [アピナ松本店@長野県@信越] Score: 1464318301 
449. VOUZZZZZ  [排除する！]    [ラウンドワン浜松店@静岡県@東海] Score: 1459832526 
450. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション船橋店@千葉県@関東] Score: 1459584318 
451. HALUYA  [付喪神]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1459229144 
452. UNAGI*  [両生類の神様]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1456812755 
453. FAN  [HUNGRY GLUTTONS]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1455401931 
454. WATTA  [四季の最高裁判長]    [タイトーステーション浜松店@静岡県@東海] Score: 1454646321 
455. Riza.  [名も無い幼い神]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1454606290 
456. Toma9/  [無彩色神]    [ラウンドワン千日前店@大阪府@近畿] Score: 1450796550 
457. TYA-HAN  [Ｓ＋級チャーハン]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1450014524 
458. arx-8  [ECLIPSES EYE]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1449453536 
459. YURA*ch  [チュルリラ・チュルリラ・マスター]    [ファンタジードーム八戸@青森県@東北] Score: 1448943422 
460. OKARINA  [夢現神]    [タイトーＦステーション三宮店@兵庫県@近畿] Score: 1448552427 
461. Retsu.  [Ever Free God]    [エムエムランド@東京都@関東] Score: 1448098043 
462. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1448080338 
463. SYANK  [大奇跡「八坂の神風」]    [アピナ鶴岡店@山形県@東北] Score: 1446617144 
464. RI9.  [超COOL!]    [タイトーステーション立川北口店@東京都@関東] Score: 1446340700 
465. AZUSA>.<  [星条旗の女王]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1444440399 
466. SiroKuro  [天然ボケ]    [キャロム東大和店@東京都@関東] Score: 1444179894 
467. Ralickma  [S級真田信之]    [ジャムジャムつくば店@茨城県@関東] Score: 1443010192 
468. GrizAil  [冬のミクさんマジ天使]    [タイトーステーション立川北口店@東京都@関東] Score: 1442707318 
469. IF  [GROOVER]    [ドリームファクトリーいわき店@福島県@東北] Score: 1442165244 
470. Irem  [超シューティング神]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1442124275 
471. Syuuu!!!  [無理]    [ラウンドワン函館店@北海道@北海道] Score: 1440102707 
472. KU-NERU  [Ｓ＋級パスタ]    [サードプラネット焼津店@静岡県@東海] Score: 1438491727 
473. AKIBOSHI  [ニャスニャス！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1437992663 
474. MANNNNK  [MY FIRST GOD]    [プラボ宇都宮店@栃木県@関東] Score: 1437463445 
475. SftCmdQ  [GROOVER]    [タイトーステーション上野アメ横@東京都@関東] Score: 1435242505 
476. REN  [Don't stop funky music!]    [ＪＯＹＬＡＮＤ敦賀店@福井県@北陸] Score: 1434081802 
477. WARLOCK  [羊神]    [Ｈｅｙ@東京都@関東] Score: 1433224472 
478. KAZ  [ブルードラゴン]    [セガワールド豊科@長野県@信越] Score: 1432495289 
479. COMPILE  [みっくみくにしてやんよ～！]    [セガ松山@愛媛県@四国] Score: 1431962657 
480. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1430579706 
481. ARIKA  [魔界の召喚士]    [タイトーステーション新宿東口店@東京都@関東] Score: 1429877143 
482. SyaLLrip  [ドリームパーティーゴッド]    [楽市楽座行橋店@福岡県@九州] Score: 1429537016 
483. 03312345  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1429264168 
484. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1428954734 
485. Potechi  [第二回天下一音ゲ祭 チャンピオン]    [タイトーステーション池袋西口店@東京都@関東] Score: 1428943636 
486. LOTUS  [電脳紀行神]    [セガ今市@栃木県@関東] Score: 1428373679 
487. BIGBANG  [世界の傍観者]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1426427567 
488. alhime  [ALERT]    [ラウンドワン宝塚店@兵庫県@近畿] Score: 1426111969 
489. KUROGANE  [S級雑賀孫市]    [タイトーステーション衣山店@愛媛県@四国] Score: 1424922993 
490. Daizu  [しんどい]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1424111386 
491. FREE  [ユニコーン]    [アピナ松本店@長野県@信越] Score: 1419911673 
492. Skeleton  [岐阜勢]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1418997592 
493. Jacky  [お断リンカちゃん]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1418759033 
494. YUSUKE  [死欲の半霊]    [ユーズランド下田店@青森県@東北] Score: 1417575670 
495. se@3156  [上上下下ABAB]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1417466497 
496. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1415065434 
497. Siomi  [太陽神]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1412460900 
498. Zing  [Nightmare]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1409992967 
499. SCP-173  [グルーヴ一万段]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1409645834 
500. Miso  [そーなのかー]    [カプセル永山@東京都@関東] Score: 1409276099 
********************************************************************************************
501. CHOMOKO  [金色の異端児]    [セガワールド多治見@岐阜県@東海] Score: 1408925796 
502. AZKKR  [No friend god]    [タイトーステーション町田店@東京都@関東] Score: 1407776243 
503. TeiEnShi  [I LOVE 巡音ルカ 2016]    [ＣＬＵＢＳＥＧＡ綱島@神奈川県@関東] Score: 1404472122 
504. NGGFN  [レンかわいいよレン]    [TOM'S(TAOYUAN FE21)@Taiwan@海外] Score: 1404405670 
505. Lucasha  [韓国勢]    [タイトーステーション新宿東口店@東京都@関東] Score: 1404035065 
506. MALEAIA  [死ぬがよい。]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1403335568 
507. Rz_Ariel  [God hive of Ra]    [タイトーフジグラン北島店@徳島県@四国] Score: 1402095157 
508. Kotori.  [次の曲が始まるのです女神]    [ラウンドワン半田店@愛知県@東海] Score: 1401961642 
509. ROW  [駆け出し]    [ハイテクランドセガ立石@東京都@関東] Score: 1400540013 
510. DammK  [爆符「ペタフレア」]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1400014489 
511. HaZaMa  [重低音モンスター]    [タイトーステーション難波店@大阪府@近畿] Score: 1399195722 
512. NEB  [眠れる王]    [ラウンドワン堺駅前店@大阪府@近畿] Score: 1398416120 
513. Amakusa  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1398021234 
514. Kagerou  [わぁーい！]    [プラサカプコン土浦店@茨城県@関東] Score: 1395709328 
515. adaptor  [雷神]    [ラウンドワン朝霞店@埼玉県@関東] Score: 1395587232 
516. LKlet  [HG魔改造ポリビニル神]    [遊スペース　マジカル@兵庫県@近畿] Score: 1395059453 
517. K@RIN*  [にぼし！にぼし！ますたー]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1393881348 
518. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1393424427 
519. 708  [宮城勢]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1393061032 
520. nakaparu  [ＥＸ級大関]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1392850622 
521. kmks  [もしもの神]    [セガ伊勢@三重県@東海] Score: 1392583787 
522. RE4  [WARNING!!]    [ロックンボウル@秋田県@東北] Score: 1391523020 
523. Vtea  [I love "LIMIT BURST"]    [タイトーステーション池袋西口店@東京都@関東] Score: 1391513194 
524. mdr  [I love Ray series]    [ピンクパンサー日立店@茨城県@関東] Score: 1389861108 
525. 99  [練習中]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1389704036 
526. BLAZE283  [I love "LIMIT BURST"]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1387304101 
527. BLAZE  [ソウルメイト]    [ラウンドワン高知店@高知県@四国] Score: 1386896628 
528. Mlt-Hyk.  [厄神様]    [ナムコランド広島店@広島県@中国] Score: 1384999201 
529. OO568  [エストポリス神]    [ラウンドワン郡山店@福島県@東北] Score: 1384494407 
530. PRESTIGE  [VENUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1383382748 
531. RON-G  [I love "ナイト・オブ・ナイツ"]    [ＧＡＭＥ　ｅｐｒｉｓ@宮城県@東北] Score: 1382802322 
532. K2D6  [S級石田三成]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1382687379 
533. Rerugan  [cyanine god]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1382078836 
534. Marg  [ハヤブサ]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1381688319 
535. Rainie02  [PRINCESS]    [アテナ日本橋@大阪府@近畿] Score: 1380999427 
536. BBC  [GROOVER]    [アドアーズ橋本@神奈川県@関東] Score: 1380955906 
537. **85**  [台湾勢]    [テクモピア伊丹店@兵庫県@近畿] Score: 1379817825 
538. DEF  [GROOVER]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1378554885 
539. SnowWeln  [Starlight Road God]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1375878552 
