1. newxh  [RAY FORCE KING]    [タイトーステーション所沢店@埼玉県@関東] Score: 1582000000 
268. K.K-OTL  [がんばリンカちゃん！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1489499567 
269. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1488992177 
270. KaZuKi09  [LINK PERFECT]    [セガ松江@島根県@中国] Score: 1488787590 
271. JACK.O  [ALERT]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1487308938 
272. MORIMORI  [TANO*C MASTER]    [ゲームインファンファン藤沢新館@神奈川県@関東] Score: 1486655398 
273. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1485466880 
274. TAK  [キャッチ・ザ・ハート]    [ハイテクランドセガ西中島@大阪府@近畿] Score: 1484028220 
275. Tac  [PaⅢ.GOD]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1481869836 
276. AINA  [I love ロンメイ]    [ゲームコーナー東部@宮城県@東北] Score: 1481648072 
277. AIR4545K  [naraku master]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1481198774 
278. JAMOJI  [零式神]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1480884920 
279. shinobu  [夏だ！海だ！初音ミク]    [プラサカプコン志都呂店@静岡県@東海] Score: 1480343888 
280. natsume.  [SPARKLING GOD]    [タイトーステーションマリノア店@福岡県@九州] Score: 1479589341 
281. WAKIDON  [おにぎりむしゃ～り！]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1479009360 
282. Mizore  [ヴァンパイア神]    [プレイランドキング円町店@京都府@近畿] Score: 1478794814 
283. Slug  [STORM CAUSER]    [ステーション２０１@愛知県@東海] Score: 1478693265 
284. saconimo  [超存在ツキ]    [プラサカプコン羽生店@埼玉県@関東] Score: 1478474835 
285. SAIKI  [すぽぉぉぉぉぉん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1478219668 
286. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1476199366 
287. RGA  [全都道府県完全制覇]    [セガ秋葉原@東京都@関東] Score: 1476007100 
288. L+Crante  [Ｓ＋級チョコレート]    [セガ霞ヶ浦@茨城県@関東] Score: 1475808614 
289. SOUJIROU  [全都道府県完全制覇]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1475621291 
290. HKB7R  [第三回天下一音ゲ祭 ファイナリスト]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1475560855 
291. SHIENA  [LOCK]    [セガワールドアルカス@東京都@関東] Score: 1475540529 
292. HAPPYEXE  [第五ノ封印ヲ解放セシ者]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1473113744 
293. sielo89  [第四回天下一チャレンジャー]    [アミパラ佐賀店@佐賀県@九州] Score: 1472682883 
294. MOEOU  [白虎]    [ESLITE WUCHANG@Taiwan@海外] Score: 1472032685 
295. IMAE  [curry神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1471395725 
296. MONIKA  [全都道府県グルメ完食]    [Ｇ－ＳＴＡＧＥ小倉@福岡県@九州] Score: 1470606477 
297. Silver  [夢の支配者]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1470425752 
298. BIS(9)  [すっごーい！]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1469790845 
299. UFORANGE  [I love "オレンジ"]    [アムズ・下通り店@熊本県@九州] Score: 1469527573 
300. WATTA  [四季の最高裁判長]    [ＡＧスクエア磐田@静岡県@東海] Score: 1468987039 
********************************************************************************************
301. 551  [がんばリンカちゃん！]    [タイトーステーション新宿東口店@東京都@関東] Score: 1468288929 
302. Ayahi  [I love "Five to Seven"]    [タイトーステーション札幌狸小路@北海道@北海道] Score: 1467919074 
303. MOYAex3  [Sakura God]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1467060268 
304. IZAWA/  [REV. × GC 達人]    [ユーズランド下田店@青森県@東北] Score: 1465926421 
305. AKIBOSHI  [ニャスニャス！]    [タイトーステーション立川北口店@東京都@関東] Score: 1464857369 
306. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1464654855 
307. KAGEAKI  [狂乱を、味わえ]    [アピナ富山南店@富山県@北陸] Score: 1464363464 
308. Naoki*  [「クールに行こう。」]    [ナムコランド広島店@広島県@中国] Score: 1464359574 
309. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1463758139 
310. NIMR  [初代☆☆☆☆☆]    [ビーカム松森店@宮城県@東北] Score: 1463595723 
311. BOB  [夢現神]    [セガフェニックスプラザ摩耶@兵庫県@近畿] Score: 1462505248 
312. G.srtkm  [I love "行くぜっ！怪盗少女"]    [ＴＦＳイオンモール浜松市野店@静岡県@東海] Score: 1462268596 
313. HERM+G  [I love IOSYS]    [ラウンドワン北心斎橋店@大阪府@近畿] Score: 1461918144 
314. YURA*ch  [サイエンスゴッド]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1461590721 
315. A9  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1460902386 
316. H.MINATO  [Negative God]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1460363627 
317. jun1<39>  [MikuMikuGod]    [アミューズファクトリー@愛知県@東海] Score: 1456603273 
318. GACHAPIN  [行脚王]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1456361287 
319. CHIK.WAV  [第四回天下一チャレンジャー]    [キャッツアイ恵庭店@北海道@北海道] Score: 1455891468 
320. SYANK  [栃木勢]    [アピナ鶴岡店@山形県@東北] Score: 1454226724 
321. shogoHG  [どんつくどんつくどんつくどんつく]    [ゲームフェスタミタマ@青森県@東北] Score: 1453515573 
322. R-TYPE.E  [超シューティング神]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1453268401 
323. KEI  [Moonbound god]    [ゲームマグマックス川越@埼玉県@関東] Score: 1452102233 
324. raiN  [ドリームパーティーゴッド]    [プラサカプコン甲府店@山梨県@関東] Score: 1452063038 
325. KAMI400  [LINK GOD]    [カジノ京町@福岡県@九州] Score: 1451671413 
326. T.naturu  [空想神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1450503241 
327. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1449249317 
328. E-ZONE  [技名を叫んでから殴る大王]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1449136736 
329. TSUNAKO.  [お断ユメちゃん！]    [大牟田Ｊ－ＧＡＭＥ@福岡県@九州] Score: 1449084237 
330. MATYARYU  [破壊神]    [ナムコランド広島店@広島県@中国] Score: 1448630281 
331. UsM@cha  [I love リンカ]    [ラウンドワン千日前店@大阪府@近畿] Score: 1448291998 
332. Takane01  [イノベーター]    [セガ秋葉原@東京都@関東] Score: 1444840482 
333. Wing  [GROOVER]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1444018058 
334. COACH  [白虎]    [タイトーステーション札幌狸小路@北海道@北海道] Score: 1443670500 
335. Shamu  [Nightmare]    [ROUND1(LAKEWOOD)@America@海外] Score: 1443669003 
336. quell  [光速の反射神経]    [タイトーステーション浜松店@静岡県@東海] Score: 1442960156 
337. Jacky  [お断リンカちゃん]    [アピナ飯田店@長野県@信越] Score: 1442493180 
338. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1440494040 
339. AA4X1X0  [夢現神]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1439361259 
340. LUY17/  [Keep the Fujin]    [ジョイプラザ龍ヶ崎店@茨城県@関東] Score: 1438407115 
341. 504939  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1438321879 
342. pata_sir  [青森勢]    [タイトーステーション所沢店@埼玉県@関東] Score: 1438249778 
343. KUJIGEN  [バジリスク]    [ゲームマグマックス川越@埼玉県@関東] Score: 1437620225 
344. 99999999  [最終鬼畜兵器]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1437210197 
345. Mikurino  [妹大王]    [ROUND1(MAIN PLACE)@America@海外] Score: 1436942776 
346. unagi  [UFO神]    [ＯＫ－コーラル@新潟県@信越] Score: 1436733919 
347. QuaLINKA  [練習中]    [ラウンドワン大宮店@埼玉県@関東] Score: 1435033213 
348. FREE  [Ｓ＋級ピザ]    [セガ松本@長野県@信越] Score: 1434461446 
349. Melonism  [秘弾「そして誰もいなくなるか？」]    [STARMU GAME CENTER@Korea@海外] Score: 1434173023 
350. Yahiga  [練習中]    [セガ秋葉原１号館@東京都@関東] Score: 1433089504 
351. 03312345  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1432972321 
352. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1432491744 
353. null_  [BISHOP]    [ラウンドワン高知店@高知県@四国] Score: 1432286519 
354. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1431756296 
355. ktg0713  [第三ノ封印ヲ解放セシ者]    [ラウンドワン市川鬼高店@千葉県@関東] Score: 1431708875 
356. kana  [鹿児島勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1428391161 
357. SOACH  [そんなんARIKA]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1428124120 
358. ADORA  [STORM CAUSER]    [楽市楽座イオンモール福岡伊都店@福岡県@九州] Score: 1427346820 
359. EJ@765  [S級上杉謙信]    [セガワールドアルカス@東京都@関東] Score: 1425775094 
360. pcfx  [タイトーLOVE]    [セガワールド上小田井@愛知県@東海] Score: 1424982123 
361. Koppe  [サンドリヨンマスター]    [ホムスタ　加古川店@兵庫県@近畿] Score: 1424389094 
362. REN  [お断ユメちゃん！]    [ＪＯＹＬＡＮＤ敦賀店@福井県@北陸] Score: 1424158190 
363. LMTAK  [あたいったら最強ね！]    [アムネット小岩店@東京都@関東] Score: 1423225108 
364. KUROKO  [うー！がぉー！]    [FUN IT(GURO)@Korea@海外] Score: 1422846815 
365. IZMISTER  [S級北条氏康]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1422776028 
366. KU-NERU  [[ 9 ]]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1421491654 
367. Re***  [LINK GOD]    [プレイランド長岡店@新潟県@信越] Score: 1421355391 
368. TATHI  [金色の異端児]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1421115884 
369. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1421029874 
370. MALEAIA  [死ぬがよい。]    [ジャムジャムつくば店@茨城県@関東] Score: 1420882357 
371. St.Rhea  [I LOVE ZUNTATA]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1420613358 
372. HOSOus  [イフリート]    [キッズインタイトーＧＡＺＡ店@愛知県@東海] Score: 1420365829 
373. AMANE02  [ふたつのARIA]    [アミューズファクトリー@愛知県@東海] Score: 1419976326 
374. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1419806887 
375. HIS.  [I love t+pazolite]    [スーパーノバ会津インター店@福島県@東北] Score: 1419111945 
376. Ject  [読経するヤマビコ]    [ラウンドワン盛岡店@岩手県@東北] Score: 1418477478 
377. 0118K  [もしもの神]    [セガ伊勢@三重県@東海] Score: 1417279381 
378. The+GoD.  [ステルスゴッド]    [Ｈｅｙ@東京都@関東] Score: 1417244306 
379. Rz_Ariel  [絶対思想啓蒙局神]    [タイトーフジグラン北島店@徳島県@四国] Score: 1414777396 
380. Hydrex  [Ｓ＋級パフェ]    [ROUND1(LAKEWOOD)@America@海外] Score: 1414435064 
381. Tsukasa  [K.I.N.G]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1414374929 
382. GGO  [次の曲が始まるのです女神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1413928221 
383. Giraty  [「幼女の世界」]    [セガ秋葉原１号館@東京都@関東] Score: 1413457605 
384. UKBEAGLE  [最高の舞台を目指せ！]    [タイトーステーション難波店@大阪府@近畿] Score: 1413336870 
385. OO568  [エストポリス神]    [ラウンドワン郡山店@福島県@東北] Score: 1412128692 
386. UDONGE_  [グルーヴ一万段]    [セガワールド米沢@山形県@東北] Score: 1409939120 
387. Ralickma  [クラーケン]    [ジャムジャムつくば店@茨城県@関東] Score: 1409534296 
388. K2D6  [S級石田三成]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1409319721 
389. Skeleton  [岐阜勢]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1406462530 
390. GrizAil*  [え？あぁ、神。]    [タイトーステーション立川北口店@東京都@関東] Score: 1406261857 
391. SKULL+  [悪魔の妹]    [ラウンドワン長野店@長野県@信越] Score: 1404324360 
392. 708  [宮城勢]    [Ｈｅｙ@東京都@関東] Score: 1404033819 
393. Rainie02  [Ｓ級幼稚園児]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1403999427 
394. K-mis  [HG魔改造ポリビニル神]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1403991136 
395. SIRA_P  [歌って踊れるゲーマーアイドル]    [タイトーステーション新宿東口店@東京都@関東] Score: 1402487103 
396. FOX186  [最高の舞台を目指せ！]    [ESLITE WUCHANG@Taiwan@海外] Score: 1401485254 
397. Yu-ki  [ネオサイタマの死神]    [アミパラ津山店@岡山県@中国] Score: 1401264865 
398. Namia@@  [弱虫大王]    [AMERICAN POOL@Hong Kong@海外] Score: 1400224181 
399. M  [GROOVER]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1399226603 
400. TAPIOKA  [GOD]    [ラウンドワン大野城店@福岡県@九州] Score: 1398207233 
********************************************************************************************
401. Potechi  [第二回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1397113229 
402. Lunar.  [九尾]    [ラウンドワン町田店@東京都@関東] Score: 1395354934 
403. Zing  [Nightmare]    [ヒューストン西川口店@埼玉県@関東] Score: 1394578466 
404. 3Ka-LL  [迫り来る未来の選択]    [ラウンドワン大分店@大分県@九州] Score: 1392360029 
405. HAIBO+EX  [でんぱ神]    [楽市楽座イオンモール松本店@長野県@信越] Score: 1391385334 
406. komachi  [バーカバーカ！]    [ハイテクランド　キューデン@東京都@関東] Score: 1389049331 
407. KARED  [完全なる墨染の神]    [タイトーステーション立川北口店@東京都@関東] Score: 1387845783 
408. **85**  [台湾勢]    [テクモピア伊丹店@兵庫県@近畿] Score: 1387749495 
409. IF  [GROOVER]    [ドリームファクトリーいわき店@福島県@東北] Score: 1385410355 
410. TOARU  [I love GUMI]    [タイトー多摩センター店@東京都@関東] Score: 1384343547 
411. issy  [Chaos God]    [タイトーステーション池袋西口店@東京都@関東] Score: 1382979041 
412. Indigo  [最高の舞台を目指せ！]    [タイトーステーション大宮店@埼玉県@関東] Score: 1380402555 
413. KEIPAN23  [Spring神]    [ラウンドワン堺中央環状店@大阪府@近畿] Score: 1379802829 
414. FELT  [裏天帝]    [ＡＭパーク　ネバーランド@神奈川県@関東] Score: 1378922493 
415. DJ+890  [piggy]    [Ｈｅｙ@東京都@関東] Score: 1376970652 
416. VteA3mr@  [絶望]    [タイトーステーション池袋西口店@東京都@関東] Score: 1375710855 
417. Mallulu*  [超COOL!]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1375463017 
418. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1373932061 
419. HIYOKU  [初代ELITE]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1373361921 
420. ORIYAN  [えんがちょマスター]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1372336916 
421. Takaha*C  [Sunglow God]    [スターダスト@岡山県@中国] Score: 1372328989 
422. ODIN:X  [dis-human]    [タイトーステーション所沢店@埼玉県@関東] Score: 1371947819 
423. NEB  [リヴァイアサン]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1371723948 
424. MBK-GIL  [山の新人神様]    [タイトーステーション南大沢店@東京都@関東] Score: 1371276945 
425. 99  [練習中]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1371157118 
426. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1370891690 
427. KANI  [二代目超シューティング神]    [セガ水戸@茨城県@関東] Score: 1370567677 
428. Masa  [治部煮]    [バイパスレジャーランド加賀店@石川県@北陸] Score: 1370563511 
429. KAZ  [ブルードラゴン]    [セガワールド豊科@長野県@信越] Score: 1367042188 
430. Sarari5  [夢の支配者]    [ラウンドワン高槻店@大阪府@近畿] Score: 1365191897 
431. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1365071710 
432. Arubada  [インフィニティ先生]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1362373990 
433. Arslan  [不死鳥神]    [FUN IT(GURO)@Korea@海外] Score: 1362331058 
434. PRESTIGE  [フィギュアヘッズ勢]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1361638492 
435. Gram  [岩手勢]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1360891902 
436. Z.F  [THE EMBRYON]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1360497718 
437. Takam  [にぼし！にぼし！ますたー]    [ジョイランド江守店@福井県@北陸] Score: 1358180572 
438. TYA-HAN  [Ｓ＋級チャーハン]    [アムネット五反田店@東京都@関東] Score: 1357004646 
439. TONEMA  [パンプキン神]    [安城メトロポリス@愛知県@東海] Score: 1355453530 
440. Iyse*  [うどんげ神]    [AMERICAN POOL@Hong Kong@海外] Score: 1353651976 
441. TOMONOBU  [あたいったら最強ね！]    [ＦＥＳＴＡ古河店@茨城県@関東] Score: 1352067904 
442. DEF  [GROOVER]    [Ｈｅｙ@東京都@関東] Score: 1350286376 
443. R-3KAN  [I love Ray series]    [プラサカプコン直方店@福岡県@九州] Score: 1350058541 
444. RI9.  [神・参拾陸段]    [タイトーステーション立川北口店@東京都@関東] Score: 1348127955 
445. ZONE  [シンガポール勢]    [リッチモンド@熊本県@九州] Score: 1348055904 
446. MORUM0  [地球割り神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1348004726 
447. Alice  [死ぬがよい。]    [ラウンドワン伊丹店@兵庫県@近畿] Score: 1347687077 
448. R230  [日本一周]    [ラウンドワン伊丹店@兵庫県@近畿] Score: 1346795963 
449. JOREN3rd  [Detonator King]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1346196970 
450. T  [にぼし！にぼし！きんぐ]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1345526864 
451. Magnolia  [PRINCESS]    [タイトーステーション藤沢店@神奈川県@関東] Score: 1345455562 
452. GORISAMA  [MIRACLE GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1345151164 
453. masaki  [GHOST]    [スペースイン@青森県@東北] Score: 1345006833 
454. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1344713345 
455. FAN  [HUNGRY GLUTTONS]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1342881431 
456. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1342416257 
457. DEDEDE  [大☆王☆様]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1340520730 
458. G0R02  [叢雲神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1339649807 
459. NULLPE  [練習中]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1339417905 
460. Parallel  [全国行脚中]    [ゲームマグマックス川越@埼玉県@関東] Score: 1338936630 
461. GLFA  [わわわわーにん！]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1338896901 
462. JADECAT  [猫神]    [ジョイプラザ龍ヶ崎店@茨城県@関東] Score: 1337980699 
463. SABAMISO  [ヘリで来た。]    [セガワールド成田@千葉県@関東] Score: 1337731229 
464. sikitoki  [Ｓ＋級ドーナッツ]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1337608342 
465. SiroKuro  [どんつくどんつくどんつくどんつく]    [キャロム東大和店@東京都@関東] Score: 1337607230 
466. KUROTTIM  [中級者]    [ラウンドワン上尾店@埼玉県@関東] Score: 1336927495 
467. Pepper  [WARNING!!]    [みらい夢　津志田店@岩手県@東北] Score: 1336450566 
468. ton_matu  [噂の美少女探偵]    [タイトーステーション所沢店@埼玉県@関東] Score: 1336410036 
469. xx_DiC  [練習中]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1334851425 
470. ScarRed  [永遠に紅い幼き月]    [ピンクパンサー那珂店@茨城県@関東] Score: 1334442987 
471. B.RS  [神々が恋した神]    [NEW CITY(JHONGLI)@Taiwan@海外] Score: 1334168932 
472. AMALILLO  [重低音モンスター]    [アテナ日本橋@大阪府@近畿] Score: 1333641963 
473. Rerugan  [PaⅢ.GOD]    [VIRTUALAND BUGIS+@Singapore@海外] Score: 1332827408 
474. kanna  [第三回天下一音ゲ祭 ファイナリスト]    [ユーズランド越谷店@埼玉県@関東] Score: 1328324974 
475. TeiEnShi  [THOUSAND KNIVES]    [ＣＬＵＢＳＥＧＡ綱島@神奈川県@関東] Score: 1326741432 
476. KOU  [HONEY SUNRiSE QUEEN]    [あそんじゃ王国　アリオ西新井店@東京都@関東] Score: 1326489364 
477. SAKURA  [悲劇の「女王」]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1321707803 
478. VOUZZZZZ  [排除する！]    [ポート２４　浜松店@静岡県@東海] Score: 1321643386 
479. R.EIMU  [God noir forever.]    [ラウンドワン梅田店@大阪府@近畿] Score: 1321147885 
480. AZUSA@.@  [ゆっくりしていってね！]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1320931555 
481. KOUXT  [MikuRinGod]    [メジャーロード黒埼店@新潟県@信越] Score: 1320428837 
482. MMM  [タイトーLOVE]    [タイトーステーション和光店@埼玉県@関東] Score: 1320073804 
483. KABUTO  [音魄の使い手]    [ラウンドワン秋田店@秋田県@東北] Score: 1319791734 
484. arx-8  [Flakes Master]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1319534608 
485. RON-G  [I love "ナイト・オブ・ナイツ"]    [スーパーノバ天童@山形県@東北] Score: 1319127325 
486. 4K293...  [噂の美少女探偵]    [アピナ伊那店@長野県@信越] Score: 1318751924 
487. JESUS  [Oh! Jesus!]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1318739728 
488. KUROGANE  [バーカバーカ！]    [タイトーステーション衣山店@愛媛県@四国] Score: 1315706266 
489. Yuzuha  [GROOVER]    [セガワールド大森@東京都@関東] Score: 1315033444 
490. Roku  [ルーキー]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1314202196 
491. Y0M1  [Cruel God]    [ＣＬＵＢＳＥＧＡ新杉田@神奈川県@関東] Score: 1313795027 
492. HIDEO  [北海道勢]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1312738064 
493. SSKM  [イフリート]    [ユーズランド高崎店@群馬県@関東] Score: 1311384677 
494. BLACK  [金色の異端児]    [ＣＬＵＢＳＥＧＡ新杉田@神奈川県@関東] Score: 1311325324 
495. SiL_VER1  [グルーヴ三百段]    [MOFUN SEOUL@Korea@海外] Score: 1310856698 
496. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1310603332 
497. SyaLLrip  [うわぁ、夢みたい！]    [Ｇ－ＳＴＡＧＥ小倉@福岡県@九州] Score: 1309377239 
498. ENBI-N  [ドリームパーティーゴッド]    [ゲームフェスタミタマ@青森県@東北] Score: 1309354716 
499. RE-  [死ぬがよい。]    [ペニーポット秋田店@秋田県@東北] Score: 1309119540 
500. WARLOCK  [すっごーい！]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1307947040 
********************************************************************************************
501. Daizu  [ゆっくりしていってね！]    [ＡＭフィールドアクス@東京都@関東] Score: 1307861154 
502. NODOKA  [RinLenGod]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1307582826 
503. Al2O3  [十人の話を同時に聞くことが出来る女神]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1307419222 
504. BOY  [I love STG]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1306669680 
505. STS  [アドリブ調査員]    [ラウンドワン秋田店@秋田県@東北] Score: 1306104648 
506. adaptor  [INFINITY]    [ラウンドワン梅田店@大阪府@近畿] Score: 1305706692 
507. UMM  [I love "Hello 31337"]    [タイトーステーション国分寺店@東京都@関東] Score: 1304241228 
508. Y.G.insa  [エイリアンエイリアンゴッド]    [タイトーフジグラン北島店@徳島県@四国] Score: 1302401574 
509. SU-3.  [ノリノリンカちゃん]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1302044131 
510. RYUCCI  [グルーヴ・リボルバー・ゴッド]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1301924634 
511. PURAMU  [CHRONO KING Ver.2.0]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1301573352 
512. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1300309203 
513. Lelei_K  [大御所]    [セガ明石@兵庫県@近畿] Score: 1300299129 
514. HaZaMa  [[ 9 ]]    [セガ難波アビオン@大阪府@近畿] Score: 1300257798 
515. A.N.C.B.  [GROOVER]    [セガ赤羽@東京都@関東] Score: 1298943395 
516. PF#(9th  [railgun god]    [イスカンダル@千葉県@関東] Score: 1298877021 
517. RYO-RYO-  [読経するヤマビコ]    [タイトーステーション池袋西口店@東京都@関東] Score: 1297830330 
518. NORANEKO  [歌って踊れるゲーマーアイドル]    [セガ松山@愛媛県@四国] Score: 1297074255 
519. Giravanz  [すっごーい！]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1296563618 
520. TSL  [ヘリで来た。]    [プレイランドエフワンＲ@宮城県@東北] Score: 1296238610 
521. Riza.  [DIVINE GOD]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1295792434 
522. pr0se  [小夜ちゃん女王]    [ROUND1(FOX VALLEY MALL)@America@海外] Score: 1294873992 
523. NA2K@WA  [そんなんARIKA]    [ゲームパニック甲府@山梨県@関東] Score: 1294366040 
524. Y0S1TUN3  [宇宙最速]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1292816994 
525. MARISA  [普通の魔法使い]    [プレイランドエフワンＲ@宮城県@東北] Score: 1292725842 
526. Kagerou  [ALERT]    [プラサカプコン成田店@千葉県@関東] Score: 1288570790 
527. AsRatio  [S級今川義元]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1288469134 
528. IRUKA  [十人の話を同時に聞くことが出来る女神]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1288446181 
529. necco*  [ジルバラードのエンジェル]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1287577072 
530. 8MA  [I love "空想フォレスト"]    [ラッキー八千代店@千葉県@関東] Score: 1286917311 
531. Sasanqua  [初代SSS CLASS]    [キングジョイ@愛知県@東海] Score: 1286108584 
532. COMPILE  [みっくみくにしてやんよ～！]    [セガ松山@愛媛県@四国] Score: 1285845297 
533. UWAAZ  [不可能を可能にする者]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1285579371 
534. LOTUS  [電脳紀行神]    [セガ今市@栃木県@関東] Score: 1285369212 
535. 321SUNNY  [死ぬがよい。]    [タイトーイオン市川妙典店@千葉県@関東] Score: 1284488122 
536. sin.  [WARNING!!]    [セガワールド白河@福島県@東北] Score: 1284256391 
537. millin  [God hive of Ra]    [ロックンボウル@秋田県@東北] Score: 1282138842 
